,Village Name,English Name,District Name,Mohafaza
1109,الدوسه,,عكار,عكار
1110,الريحانيه,,عكار,عكار
1111,الزواريب,,عكار,عكار
1112,السماقية,,عكار,عكار
1113,راس نحاش,Ras Nahache,البترون,الشمال
1114,السمونيه,,عكار,عكار
1115,السنديانة,,عكار,عكار
1116,راشيا الفخار,Rachaya El-Fokhar,قضاءي مرجعيون وحاصبيا,النبطية
1117,السهلة,,عكار,عكار
1118,السويسه,,عكار,عكار
1119,الشقدوف,,عكار,عكار
1120,راميه,Ramié,بنت جبيل,النبطية
1121,الشيخ زناد,,عكار,عكار
1122,الشيخ طابا,,عكار,عكار
1123,الشيخ عياش,,عكار,عكار
1124,الشيخ محمد,,عكار,عكار
1125,العريضه,,عكار,عكار
1126,العماير,,عكار,عكار
1127,رويسة النعمان,Roueissat El-Naaman,عاليه,جبل لبنان
1128,العوادة,,عكار,عكار
1129,زان,Zane,البترون,الشمال
1130,زبدين,Zebdine,النبطية,النبطية
1131,زبدين,Zebdine,جبيل,جبل لبنان
1132,زبقين,Zebkine,صور,الجنوب
1133,زبود,Zaboud,قضاءي بعلبك والهرمل,بعلبك والهرمل
1134,زبوغا,Zabbougha,المتن,جبل لبنان
1135,العوينات,,عكار,عكار
1136,الفرض,,عكار,عكار
1137,القبيات الذوق,,عكار,عكار
1138,القبيات الضهر,,عكار,عكار
1139,القبيات الغربية,,عكار,عكار
1140,القبيات القطلبه,,عكار,عكار
1141,القبيات غوايا,,عكار,عكار
1142,القبيات مرتموره,,عكار,عكار
1143,القرنة,,عكار,عكار
1144,القنطره,,عكار,عكار
1145,الكنيسة,,عكار,عكار
1146,الكواشره,,عكار,عكار
1147,المسعوديه,,عكار,عكار
1148,المقيبله,,عكار,عكار
1149,المقيطع,,عكار,عكار
1150,المونسة,,عكار,عكار
1151,النفيسه,,عكار,عكار
1152,زرعون,Zaraoune,المتن,جبل لبنان
1153,النهرية وبستان الحرش,,عكار,عكار
1154,زغدرايا,Zaghdraya,قرى صيدا,الجنوب
1155,النورة,,عكار,عكار
1156,الهيشة,,عكار,عكار
1157,برباره,,عكار,عكار
1158,برج العرب,,عكار,عكار
1159,بني صخر,,عكار,عكار
1160,بيت الحاج,,عكار,عكار
1161,زغرتغرين,Zaghrteghrine,الضنية,الشمال
1162,زفتا,Zefta,النبطية,النبطية
1163,زقاق البلاط,Zoukak el-Blatt,بيروت الثانية,بيروت
1164,زكرون,Zakroune,الكورة,الشمال
1165,زكريت,Zacrite,المتن,جبل لبنان
1166,زلايا,Zellaya,قضاءي البقاع الغربي وراشيا,البقاع
1167,بيت الحوش,,عكار,عكار
1168,بيت ايوب,,عكار,عكار
1169,بيت غطاس,,عكار,عكار
1170,تاشع,,عكار,عكار
1171,تل عباس شرقي,,عكار,عكار
1172,تل عباس غربي,,عكار,عكار
1173,تل معيان,,عكار,عكار
1174,تلبيبة,,عكار,عكار
1175,زوق مصبح,Zouk Mousbeh,كسروان,جبل لبنان
1176,تلبيره,,عكار,عكار
1177,زيتا,Zeita,قرى صيدا,الجنوب
1178,زيتون,Zeitoune,كسروان,جبل لبنان
1179,تلحميره,,عكار,عكار
1180,تله وشطاحه,,عكار,عكار
1181,جبل المنصورة,,عكار,عكار
1182,جديدة القيطع,,عكار,عكار
1183,جرمنايا,,عكار,عكار
1184,حكر الشيخ طابا,,عكار,عكار
1185,حكر الضاهري,,عكار,عكار
1186,حوشب,,عكار,عكار
1187,خربة الجرد,,عكار,عكار
1188,خربة داوود,,عكار,عكار
1189,خريبة الجندي,,عكار,عكار
1190,خط البترول,,عكار,عكار
1191,دارين,,عكار,عكار
1192,دير جنين,,عكار,عكار
1193,دير دلوم,,عكار,عكار
1194,سفينة الدريب,Sfeinite El-Dreibe,عكار,عكار
1195,رجم عيسى,,عكار,عكار
1196,زوق الحبالصه,,عكار,عكار
1197,زوق الحصينه,,عكار,عكار
1198,زوق المقشرين,,عكار,عكار
1199,سمار جبيل,Smar Jbeil,البترون,الشمال
1200,زوق حداره,,عكار,عكار
1201,سفينة القيطع,,عكار,عكار
1202,شدره,,عكار,عكار
1203,ضهر القنبر,,عكار,عكار
1204,ضهر ليسينه,,عكار,عكار
1205,عبودية,,عكار,عكار
1206,عكار العتيقه,,عكار,عكار
1207,عماره,,عكار,عكار
1208,عيات,,عكار,عكار
1209,عيدمون,,عكار,عكار
1210,عين الذهب,,عكار,عكار
1211,عين يعقوب,,عكار,عكار
1212,عيون الغزلان,,عكار,عكار
1213,غزيله,,عكار,عكار
1214,قليعات,,عكار,عكار
1215,قنية,,عكار,عكار
1216,كرم زبدين,,عكار,عكار
1217,كرم عصفور,,عكار,عكار
1218,كفر حره,,عكار,عكار
1219,كوشا,,عكار,عكار
1220,مراح الخوخ,,عكار,عكار
1221,مشيلحة حاكوره,,عكار,عكار
1222,ممنع,,عكار,عكار
1223,منياره,,عكار,عكار
1224,وادي الجاموس,,عكار,عكار
1225,وادي خالد,,عكار,عكار
1226,البابلية,Babliyé,قرى صيدا,الجنوب
1227,البرامية,,قرى صيدا,الجنوب
1228,البيسارية,,قرى صيدا,الجنوب
1229,الحارة,,قرى صيدا,الجنوب
1230,الحجة,,قرى صيدا,الجنوب
1231,الزرارية,El-Zrariyé,قرى صيدا,الجنوب
1232,السكسكية,,قرى صيدا,الجنوب
1233,الصالحية,,قرى صيدا,الجنوب
1234,الصرفند,,قرى صيدا,الجنوب
1235,الغازية,,قرى صيدا,الجنوب
1236,القرية,,قرى صيدا,الجنوب
1237,القنيطرة,,قرى صيدا,الجنوب
1238,اللوبيه,,قرى صيدا,الجنوب
1239,المروانية,,قرى صيدا,الجنوب
1240,المعمرية,,قرى صيدا,الجنوب
1241,المية ومية,,قرى صيدا,الجنوب
1242,النجارية,,قرى صيدا,الجنوب
1243,الهلالية,,قرى صيدا,الجنوب
1244,بقسطه,,قرى صيدا,الجنوب
1245,جنجلايا,,قرى صيدا,الجنوب
1246,درب السيم,,قرى صيدا,الجنوب
1247,عدوسية,,قرى صيدا,الجنوب
1248,عرب الجل,,قرى صيدا,الجنوب
1249,غسانية,,قرى صيدا,الجنوب
1250,قعقعية الصنوبر,,قرى صيدا,الجنوب
1251,كفرحتى,,قرى صيدا,الجنوب
1252,كفرملكي,,قرى صيدا,الجنوب
1253,كوثرية السياد,,قرى صيدا,الجنوب
1254,مزرعة طبايا,,قرى صيدا,الجنوب
1255,الخياره,,قضاءي البقاع الغربي وراشيا,البقاع
1256,الدكوه,,قضاءي البقاع الغربي وراشيا,البقاع
1257,الروضة,,قضاءي البقاع الغربي وراشيا,البقاع
1258,السلطان يعقوب التحتا,,قضاءي البقاع الغربي وراشيا,البقاع
1259,السلطان يعقوب الفوقا,,قضاءي البقاع الغربي وراشيا,البقاع
1260,الشبرقية,,قضاءي البقاع الغربي وراشيا,البقاع
1261,ضهر الاحمر,Dahr El-Ahmar,قضاءي البقاع الغربي وراشيا,البقاع
1262,العقبة,,قضاءي البقاع الغربي وراشيا,البقاع
1263,المنارة,,قضاءي البقاع الغربي وراشيا,البقاع
1264,المنصوره,,قضاءي البقاع الغربي وراشيا,البقاع
1265,ضهر المغارة,Dahr El-Mghara,الشوف,جبل لبنان
1266,باب مارع,,قضاءي البقاع الغربي وراشيا,البقاع
1267,تنوره,,قضاءي البقاع الغربي وراشيا,البقاع
1268,طاران,Tarane,الضنية,الشمال
1269,حلوه,,قضاءي البقاع الغربي وراشيا,البقاع
1270,حوش الحريمه,,قضاءي البقاع الغربي وراشيا,البقاع
1271,طفيل,Tfeil,قضاءي بعلبك والهرمل,بعلبك والهرمل
1272,دير العشائر,,قضاءي البقاع الغربي وراشيا,البقاع
1273,طورا,Toura,صور,الجنوب
1274,طورزا,Tourza,بشري,الشمال
1275,طورزيا,Torzaya,جبيل,جبل لبنان
1276,راشيا حي الفوقا,,قضاءي البقاع الغربي وراشيا,البقاع
1277,راشيا حي الكواسبه,,قضاءي البقاع الغربي وراشيا,البقاع
1278,راشيا حي الميدان,,قضاءي البقاع الغربي وراشيا,البقاع
1279,عابا,Aba,الكورة,الشمال
1280,عاراي,Araya,جزين,الجنوب
1281,سلساتا,,قضاءي البقاع الغربي وراشيا,البقاع
1282,عيحا,,قضاءي البقاع الغربي وراشيا,البقاع
1283,عين التينه,,قضاءي البقاع الغربي وراشيا,البقاع
1284,عين حرشا,,قضاءي البقاع الغربي وراشيا,البقاع
1285,عين زبده,,قضاءي البقاع الغربي وراشيا,البقاع
1286,كامد اللوز,,قضاءي البقاع الغربي وراشيا,البقاع
1287,كفردنيس,,قضاءي البقاع الغربي وراشيا,البقاع
1288,كفرقوق,,قضاءي البقاع الغربي وراشيا,البقاع
1289,كفرمشكي,,قضاءي البقاع الغربي وراشيا,البقاع
1290,عرب صاليم,Arab Salim,النبطية,النبطية
1291,مجدل بلهيص,,قضاءي البقاع الغربي وراشيا,البقاع
1292,محيدثه,,قضاءي البقاع الغربي وراشيا,البقاع
1293,مشغره التحتا,,قضاءي البقاع الغربي وراشيا,البقاع
1294,مشغره الفوقا,,قضاءي البقاع الغربي وراشيا,البقاع
1295,الانصار,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1296,البرانيه حي المسيحيين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1297,البرباره محلة المسيحيين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1298,البستان,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1299,البويضة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1300,البويضة الحي الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1301,البويضة الشمالية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1302,التوفيقيه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1303,عمار البيكات,Omar el-Beikate,عكار,عكار
1304,الجوبانية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1305,الحدث الشمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1306,الحدث الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1307,الحريقه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1308,الحلانيه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1309,الخريبه حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1310,الخضر الشرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1311,الخضر الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1312,عيتا الفخار,Aïta El-Fokhar,قضاءي البقاع الغربي وراشيا,البقاع
1313,الخضر حي الاشعل,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1314,الخضر حي الجنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1315,الخضر حي الشعب,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1316,الريش حي الشرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1317,الريش حي الشميس,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1318,الريش حي الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1319,الزرازير,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1320,الزويتيني,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1321,السعيده,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1322,السويسة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1323,الشربين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1324,الشواغير التحتا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1325,عين الحلزون,Aïn El-Halzoune,عاليه,جبل لبنان
1326,الشواغير الفوقا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1327,الصوانية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1328,عين الدلب,Aïn El-Delbé,قرى صيدا,الجنوب
1329,العقيدية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1330,العلاق,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1331,الفاكهة حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1332,الفاكهة حي مار جرجس,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1333,القاع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1334,عين الريحانه,Aïn El-Rihané,كسروان,جبل لبنان
1335,القدام,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1336,عين الزيت,Aïn El-Zeit,عكار,عكار
1337,عين الزيتونه,Aïn -El-Zeitouné,المتن,جبل لبنان
1338,القرينة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1339,القصر,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1340,الكواخ,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1341,المعاصر,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1342,النبي رشاده,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1343,النبي سباط,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1344,النبي شيت حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1345,النبي شيت حي الجنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1346,النبي شيت حي الشرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1347,عين المير,Aïn el-Mir,جزين,الجنوب
1348,عين بعال,Aïn Baal,صور,الجنوب
1349,عين بورضاي,Aïn Bourday,قضاءي بعلبك والهرمل,بعلبك والهرمل
1350,النبي شيت حي الشمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1351,عين تراز,Aïn Traz,عاليه,جبل لبنان
1352,عين تنتا,Aïn Tanta,عكار,عكار
1353,عين جرفا,Aïn Jarfa,قضاءي مرجعيون وحاصبيا,النبطية
1354,النبي شيت حي العريض,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1355,النبي شيت حي العقبة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1356,النبي شيت حي الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1357,عين درافيل,Aïn Drafile,عاليه,جبل لبنان
1358,النبي شيت حي طبشار,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1359,عين زحلتا,Aïn Zhalta,الشوف,جبل لبنان
1360,النبي نعام,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1361,عين عار,Aïn Aar,المتن,جبل لبنان
1362,عين عرب,Ain Aarab,قضاءي البقاع الغربي وراشيا,البقاع
1363,عين عرب,Ain Aarab,قضاءي مرجعيون وحاصبيا,النبطية
1364,عين عطا,Aïn Aata,قضاءي البقاع الغربي وراشيا,البقاع
1365,عين عكرين,Aïn Akrine,الكورة,الشمال
1366,النقرة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1367,الهرمل حي الحارة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1368,الهرمل حي الوقف,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1369,عين قني,Aïn Kéni,الشوف,جبل لبنان
1370,عين قنيا,Aïn Kinia,قضاءي مرجعيون وحاصبيا,النبطية
1371,عين كسور,Aïn Ksour,عاليه,جبل لبنان
1372,الهرمل حي بديتا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1373,اليمونه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1374,ايعات,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1375,عين موفق,Aïn Mouaffak,بعبدا,جبل لبنان
1376,بتدعي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1377,برقه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1378,عينبال,Aïn-Ebel,الشوف,جبل لبنان
1379,بريتال اليونسية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1380,بريتال حي التين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1381,بريتال شرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1382,بريتال شميس,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1383,بريتال شميس غربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1384,بريتال عين البنيه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1385,بريتال عين الجوز,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1386,بريتال غربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1387,بريصا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1388,بيت ابو صليبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1389,بيت مشيك,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1390,تمنين الفوقا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1391,جبعا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1392,جبوله,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1393,جوار الحشيش,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1394,حور تعلا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1395,حور تعلا حي الشعب,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1396,حور تعلا حي الوادي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1397,حور تعلا حي حقل العرجة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1398,قبة بشمرا,Kobbet Bchamra,عكار,عكار
1399,حوش الذهب,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1400,حوش الرافقه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1401,حوش السيد علي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1402,حوش النبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1403,حوش تل صفيه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1404,حوش سنيد,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1405,قرنة شهوان,Kornet Chahouane,المتن,جبل لبنان
1406,حي الزهراء,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1407,حي الست,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1408,حي الصلح,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1409,حي العباسية,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1410,حي عز الدين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1411,دار الواسعة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1412,دورس حي البير,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1413,دورس حي السيدة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1414,قلود الباقية,Kloud El-Bakia,عكار,عكار
1415,دورس حي الشحاديه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1416,راس بعلبك,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1417,قنابة برمانا,Kanabet Broummana,المتن,جبل لبنان
1418,قنابة صليما,Kannabet Salima,المتن,جبل لبنان
1419,رماسا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1420,سرعين التحتا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1421,سرعين الفوقا حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1422,سرعين الفوقا حي الحارة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1423,سرعين الفوقا شرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1424,سرعين الفوقا غربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1425,سهلات الماء,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1426,شعت حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1427,شعت حي الضهر,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1428,شمسطار الجنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1429,كرم سده,Karm Saddé,زغرتا,الشمال
1430,شمسطار الشرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1431,كروم عرب,Kroum Arabe,عكار,عكار
1432,كفر الفتوح,Kefr El-Ftouh,عكار,عكار
1433,كفر تبنيت,Kfar Tebnite,النبطية,النبطية
1434,شمسطار الشمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1435,كفر حبو,Kfar Habou,الضنية,الشمال
1436,شمسطار الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1437,صبوبا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1438,كفر حزير,Kfar Hazir,الكورة,الشمال
1439,صفرا,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1440,كفر حمام,Kfar Hamame,قضاءي مرجعيون وحاصبيا,النبطية
1441,كفر حورا,Kfar Haoura,زغرتا,الشمال
1442,طاريا الجنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1443,كفر رمان,Kfar Remmane,النبطية,النبطية
1444,كفر زينا,Kfar Zeina,زغرتا,الشمال
1445,طاريا الشمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1446,كفر شلان,Kfar Chlane,الضنية,الشمال
1447,كفر شليمان,Kfar Chleïman,البترون,الشمال
1448,عرسال جنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1449,عرسال شرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1450,كفر عبيدا,Kfar Obeida,البترون,الشمال
1451,كفر عقاب,Kfar Akab,المتن,جبل لبنان
1452,عرسال شمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1453,كفر فاقود,Kfar Fakoud,الشوف,جبل لبنان
1454,عين السوداء,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1455,غفره,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1456,فلاوي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1457,فيسان,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1458,قبة دورس,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1459,قلد السبع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1460,كفربيت,Kfar-Bite,قرى صيدا,الجنوب
1461,قلعة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1462,قلعة غربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1463,قنافذ,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1464,كفردان الغربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1465,كفردبش,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1466,كفرحونه,Kefer-Houné,جزين,الجنوب
1467,مراح العين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1468,مزرعة ابو صليبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1469,مزرعة التوت,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1470,مزرعة السيد,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1471,مزرعة الضليل,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1472,مزرعة الفقيه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1473,مزرعة آل سويدان,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1474,مزرعة بيت الطشم,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1475,كفرشلال,Kfar-Challal,قرى صيدا,الجنوب
1476,مزرعة بيت مطر,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1477,مزرعة سجد,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1478,مصنع الزهرة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1479,كفرفالوس,Kafr-Falouce,جزين,الجنوب
1480,نبحا الحرفوش,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1481,نبحا الدمدوم,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1482,نبحا المحفارة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1483,نبحا حي الجامع,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1484,نبحا قليلة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1485,وادي التركمان,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1486,وادي الرطل,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1487,وادي الزين,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1488,كفور العربي,Kfour El-Arabi,البترون,الشمال
1489,كفون,Kaïfoun,جبيل,جبل لبنان
1490,وادي الصفا الشرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1491,وادي العس,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1492,وادي المشمشه,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1493,وادي النيرة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1494,وادي بنيت,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1495,مار بطرس كرم التين,Mar Boutros Karm El-Tine,المتن,جبل لبنان
1496,مار توما,Mar Touma,عكار,عكار
1497,وادي فعرة,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1498,مار ماما,Mar Mama,البترون,الشمال
1499,مار مخايل بنابيل,Mar Mikhael Bnabil,المتن,جبل لبنان
1500,يونين جنوبي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1501,يونين شرقي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1502,يونين شمالي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1503,مجدل بعنا,Majdel Baana,عاليه,جبل لبنان
1504,يونين غربي,,قضاءي بعلبك والهرمل,بعلبك والهرمل
1505,مجدل ترشيش,Majdel Tarchiche,المتن,جبل لبنان
1506,مجدل سلم,Majdel Selm,قضاءي مرجعيون وحاصبيا,النبطية
1507,ابل السقي,,قضاءي مرجعيون وحاصبيا,النبطية
1508,مجدلايا,Mejdlaya,عاليه,جبل لبنان
1509,ابو قمحه,,قضاءي مرجعيون وحاصبيا,النبطية
1510,الجديدة حي السراي,,قضاءي مرجعيون وحاصبيا,النبطية
1511,الجديدة حي العيون,,قضاءي مرجعيون وحاصبيا,النبطية
1512,الجديدة حي القلعة,,قضاءي مرجعيون وحاصبيا,النبطية
1513,الجديدة حي المدارس,,قضاءي مرجعيون وحاصبيا,النبطية
1514,الخيام جنوبي,,قضاءي مرجعيون وحاصبيا,النبطية
1515,الخيام شرقي,,قضاءي مرجعيون وحاصبيا,النبطية
1516,الخيام شمالي,,قضاءي مرجعيون وحاصبيا,النبطية
1517,الخيام غربي,,قضاءي مرجعيون وحاصبيا,النبطية
1518,الدلافة,,قضاءي مرجعيون وحاصبيا,النبطية
1519,الفرديس,,قضاءي مرجعيون وحاصبيا,النبطية
1520,القليعه,,قضاءي مرجعيون وحاصبيا,النبطية
1521,الماري,,قضاءي مرجعيون وحاصبيا,النبطية
1522,الهبارية,,قضاءي مرجعيون وحاصبيا,النبطية
1523,الوزاني,,قضاءي مرجعيون وحاصبيا,النبطية
1524,برج الملوك,,قضاءي مرجعيون وحاصبيا,النبطية
1525,بويضة,,قضاءي مرجعيون وحاصبيا,النبطية
1526,حاصبيا حي السراي,,قضاءي مرجعيون وحاصبيا,النبطية
1527,حاصبيا حي العين,,قضاءي مرجعيون وحاصبيا,النبطية
1528,مزرعة الشوف,Mazraet El-Chouf,الشوف,جبل لبنان
1529,حاصبيا حي الفوقاني,,قضاءي مرجعيون وحاصبيا,النبطية
1530,مزرعة الضهر,Mazraet El-Dahr,الشوف,جبل لبنان
1531,حاصبيا حي صفيفة,,قضاءي مرجعيون وحاصبيا,النبطية
1532,رب ثلاثين,,قضاءي مرجعيون وحاصبيا,النبطية
1533,سرده والعمره,,قضاءي مرجعيون وحاصبيا,النبطية
1534,شبعا شرقي,,قضاءي مرجعيون وحاصبيا,النبطية
1535,مزرعة النهر,Mazraet El-Nahr,زغرتا,الشمال
1536,مزرعة النهر,Mazraet El-Nahr,عاليه,جبل لبنان
1537,شبعا غربي,,قضاءي مرجعيون وحاصبيا,النبطية
1538,مزرعة بلده,Mazraat Baldé,عكار,عكار
1539,طلوسه,,قضاءي مرجعيون وحاصبيا,النبطية
1540,عديسه,,قضاءي مرجعيون وحاصبيا,النبطية
1541,قنطره,,قضاءي مرجعيون وحاصبيا,النبطية
1542,كفرشوبا,,قضاءي مرجعيون وحاصبيا,النبطية
1543,مرج الزهور,,قضاءي مرجعيون وحاصبيا,النبطية
